"Short name","Hour","HUAW_eRAN_R8_DL Traffic Volume MBytes","HUAW_eRAN_R8_UL Traffic Volume MBytes","L.Traffic.ActiveUser.DL.Max","L.Traffic.ActiveUser.DL.Avg"
1001_L_1_18F02,2016071113,92.050067,23.209605,3,0.042000
1001_L_1_18F02,2016071114,114.968874,16.718472,3,0.044000
1001_L_1_18F02,2016071115,80.279608,8.646267,3,0.031000
1001_L_1_18F02,2016071116,29.328397,7.519492,3,0.029000
1001_L_1_18F02,2016071117,46.772476,8.520667,3,0.024000
1001_L_1_18F02,2016071118,26.956868,4.592798,2,0.014000
1001_L_1_18F02,2016071119,35.549411,5.698083,3,0.021000
1001_L_1_18F02,2016071120,49.696847,5.933163,3,0.023000
1001_L_1_18F02,2016071121,50.983627,6.145542,3,0.019000
1001_L_1_18F02,2016071122,3.223183,13.221229,2,0.007000
1001_L_1_18F02,2016071123,128.530794,4.098522,3,0.021000
1001_L_1_18F02,2016071200,56.118986,2.259575,3,0.009000
1001_L_1_18F02,2016071201,7.286774,2.039420,2,0.006000
1001_L_1_18F02,2016071202,2.725270,0.625418,2,0.003000
1001_L_1_18F02,2016071203,1.126264,0.520419,2,0.003000
1001_L_1_18F02,2016071204,1.652045,0.526842,2,0.004000
1001_L_1_18F02,2016071205,0.713997,0.192275,1,0.001000
1001_L_1_18F02,2016071206,20.240894,2.067344,2,0.007000
1001_L_1_18F02,2016071207,39.365953,4.701299,3,0.017000
1001_L_1_18F02,2016071208,33.964807,4.904052,3,0.021000
1001_L_1_18F02,2016071209,178.993805,10.037412,3,0.042000
1001_L_1_18F02,2016071210,51.717371,4.909339,3,0.020000
1001_L_1_18F02,2016071211,85.659284,8.052354,3,0.040000
1001_L_1_18F02,2016071212,269.745377,12.636933,4,0.093000
1001_L_1_18F02,2016071213,124.818274,10.616936,3,0.049000
1001_L_1_18F02,2016071214,46.398968,7.041831,3,0.030000
1001_L_1_18F02,2016071215,66.572694,8.610040,3,0.039000
1001_L_1_18F02,2016071216,131.262014,17.011136,3,0.038000
1001_L_1_18F02,2016071217,34.859143,6.831916,2,0.022000
1001_L_1_18F02,2016071218,34.687283,4.544064,2,0.014000
1001_L_1_18F02,2016071219,100.858852,9.185740,3,0.033000
1001_L_1_18F02,2016071220,127.947918,133.035081,3,0.041000
1001_L_1_18F02,2016071221,159.465235,8.851783,3,0.034000
1001_L_1_18F02,2016071222,68.794510,5.178938,2,0.021000
1001_L_1_18F02,2016071223,3.696450,1.432258,2,0.005000
1001_L_1_18F03,2016071100,30.353511,1.662577,2,0.005000
1001_L_1_18F03,2016071101,21.419057,0.494561,2,0.002000
1001_L_1_18F03,2016071102,2.444110,0.258474,1,0.001000
1001_L_1_18F03,2016071103,0.076349,0.045682,1,0
1001_L_1_18F03,2016071104,0.680840,0.222384,1,0.001000
1001_L_1_18F03,2016071105,40.367193,1.299099,2,0.004000
1001_L_1_18F03,2016071106,4.962481,1.255217,2,0.008000
1001_L_1_18F03,2016071107,58.789977,4.368843,2,0.015000
1001_L_1_18F03,2016071108,369.497564,12.364398,3,0.041000
1001_L_1_18F03,2016071109,58.874160,7.113172,2,0.024000
1001_L_1_18F03,2016071110,269.391188,18.851422,4,0.052000
1001_L_1_18F03,2016071111,106.866440,11.556515,3,0.035000
1001_L_1_18F03,2016071112,180.054972,8.526740,3,0.032000
1001_L_1_18F03,2016071113,286.444702,12.120370,4,0.046000
1001_L_1_18F03,2016071114,58.939955,9.530864,3,0.029000
1001_L_1_18F03,2016071115,69.428936,12.877221,3,0.030000
1001_L_1_18F03,2016071116,159.893149,9.542804,4,0.031000
1001_L_1_18F03,2016071117,73.111716,7.936885,3,0.033000
1001_L_1_18F03,2016071118,127.548820,7.217467,3,0.026000
1001_L_1_18F03,2016071119,258.297374,20.106631,3,0.041000
1001_L_1_18F03,2016071120,99.206095,17.531964,3,0.028000
1001_L_1_18F03,2016071121,239.897786,10.114571,3,0.035000
1001_L_1_18F03,2016071122,17.061777,1.179974,2,0.005000
1001_L_1_18F03,2016071123,7.002822,0.923772,3,0.004000
1001_L_1_18F03,2016071200,10.235984,0.386308,1,0.002000
1001_L_1_18F03,2016071201,27.789159,1.361704,2,0.003000
1001_L_1_18F03,2016071202,19.984715,1.624959,2,0.003000
1001_L_1_18F03,2016071203,29.930188,1.609189,1,0.004000
1001_L_1_18F03,2016071204,0.251854,0.131574,1,0.001000
1001_L_1_18F03,2016071205,1.589100,0.525982,1,0.002000
1001_L_1_18F03,2016071206,69.115691,3.916430,2,0.014000
1001_L_1_18F03,2016071207,81.258790,5.755062,3,0.018000
1001_L_1_18F03,2016071208,63.943094,6.659609,3,0.028000
1001_L_1_18F03,2016071209,79.813597,21.736327,3,0.034000
1001_L_1_18F03,2016071210,61.466485,5.770085,2,0.021000
1001_L_1_18F03,2016071211,146.284891,11.250586,3,0.044000
1001_L_1_18F03,2016071212,228.723941,22.364204,3,0.053000
1001_L_1_18F03,2016071213,56.116502,8.378171,3,0.038000
1001_L_1_18F03,2016071214,159.403058,9.011013,3,0.054000
1001_L_1_18F03,2016071215,110.661580,16.000020,4,0.037000
1001_L_1_18F03,2016071216,147.434933,18.875755,3,0.054000
1001_L_1_18F03,2016071217,88.239547,11.949270,3,0.032000
